,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,isolate,host,isolation_source,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,source_uvig,virus_enrich_appr,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,collected_by,sequenced_by,BioSampleModel,purpose_of_ww_sampling,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
SRR25657409,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657409,SRX21383389,,,wastewater,,,,USA: California,,,,60000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ca,11156.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,i465Qzwb2ok2
SRR25657546,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657546,SRX21383252,,,wastewater,,,,USA: Pennsylvania,,,,88000.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pa,11070.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,h88CEadGa8Kz
SRR25657401,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657401,SRX21383396,,,wastewater,,,,USA: Vermont,,,,15000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,vt,11106.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,TWfiRwua8wXS
SRR25657447,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657447,SRX21383351,,,wastewater,,,,USA: South Carolina,,,,45000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,sc,10699.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,kNkgZEkxwckA
SRR25657508,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657508,SRX21383290,,,wastewater,,,,USA: New Jersey,,,,1300000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nj,10922.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,G4sf3FUVRAPm
SRR25657425,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657425,SRX21383373,,,wastewater,,,,USA: Louisiana,,,,262326.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,la,4659.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,UNEPgrpFU6W4
SRR25657419,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657419,SRX21383379,,,wastewater,,,,USA: Virginia,,,,16000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,va,11026.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,FBV3ujtEjZCh
SRR25657408,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657408,SRX21383390,,,wastewater,,,,USA: Rhode Island,,,,21100.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ri,8074.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,MLsTffPWe3i7
SRR25657465,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657465,SRX21383333,,,wastewater,,,,USA: California,,,,6500.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ca,11066.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,2pBtc8bFyQpF
SRR25657434,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657434,SRX21383364,,,wastewater,,,,USA: Florida,,,,85700.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,fl,8318.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,UFchzcbngTmd
SRR25657429,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657429,SRX21383369,,,wastewater,,,,USA: Arkansas,,,,5500.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ar,10912.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,iYJRiu7mdhoz
SRR25657441,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657441,SRX21383357,,,wastewater,,,,USA: South Carolina,,,,140280.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,sc,11008.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HMTezwB4JuzT
SRR25657544,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657544,SRX21383254,,,wastewater,,,,USA: Kansas,,,,50000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ks,10754.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,MRiJCnbnsP87
SRR25657438,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657438,SRX21383360,,,wastewater,,,,USA: Maryland,,,,150000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,md,11150.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,YVaQ9hnFjA3v
SRR25657523,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657523,SRX21383275,,,wastewater,,,,USA: Texas,,,,143000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,8234.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,6N9LMhgYZFHf
SRR25657518,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657518,SRX21383280,,,wastewater,,,,USA: Pennsylvania,,,,13000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pa,7705.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,E6BwiSRbQwT7
SRR25657430,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657430,SRX21383368,,,wastewater,,,,USA: Washington,,,,162100.0,23,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,wa,7771.P,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,EF9ZqRFqbbck
SRR25657407,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657407,SRX21383452,,,wastewater,,,,USA: California,,,,100000.0,23,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ca,7853.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,URBSoHDk4xdn
SRR25657462,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657462,SRX21383336,,,wastewater,,,,USA: Florida,,,,300000.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,fl,9337.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,2UiDemUQ4Q3Y
SRR25657449,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657449,SRX21383349,,,wastewater,,,,USA: Texas,,,,26400.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,tx,10404.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,FYbNsgsR5GRm
SRR25657377,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657377,SRX21383420,,,wastewater,,,,USA: New Mexico,,,,13000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nm,7849.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,3EoSTyASwDDb
SRR25657374,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657374,SRX21383423,,,wastewater,,,,USA: Pennsylvania,,,,10000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pa,7705.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HFPAdYZ9KBte
SRR25657445,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657445,SRX21383353,,,wastewater,,,,USA: Kansas,,,,90000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ks,10754.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,SQy5tDh7LqQU
SRR25657495,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657495,SRX21383303,,,wastewater,,,,USA: Kansas,,,,27000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ks,8263.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,TurHhQ7q7oyx
SRR25657358,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657358,SRX21383439,,,wastewater,,,,USA: New Hampshire,,,,43000.0,22,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nh,10774.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,dwEn55eA25j7
SRR25657405,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657405,SRX21383393,,,wastewater,,,,USA: Virginia,,,,51470.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,va,8536.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,jfmg9iXAeKQi
SRR25657506,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657506,SRX21383292,,,wastewater,,,,USA: Georgia,,,,197191.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ga,8210.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,5QpTdioWubRR
SRR25657383,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657383,SRX21383414,,,wastewater,,,,USA: Louisiana,,,,389000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,la,9021.P,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,QHPNUcHR95tM
SRR25657390,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657390,SRX21383407,,,wastewater,,,,USA: California,,,,6500.0,23,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ca,10784.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,2pBtc8bFyQpF
SRR25657480,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657480,SRX21383318,,,wastewater,,,,USA: Puerto Rico,,,,328816.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pr,9429.AN,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,h2iwBxPxHwEd
SRR25657490,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657490,SRX21383308,,,wastewater,,,,USA: Alaska,,,,15000.0,0,raw wastewater,grab,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ak,8955.H,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,kmqhtSHChrZN
SRR25657457,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657457,SRX21383341,,,wastewater,,,,USA: Washington,,,,81140.0,23,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,wa,7771.L,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,oBivTjeifaTd
SRR25657504,,,,,,,,,,2023-08-07,,,,,,,,,,,,,,,,,SRR25657504,SRX21383294,,,wastewater,,,,USA: Maine,,,,7000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,me,10824.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,FUBuGhGrSLiF
SRR25657258,,,,,,,,,,2023-08-06,,,,,,,,,,,,,,,,,SRR25657258,SRX21383174,,,wastewater,,,,USA: Pennsylvania,,,,6800.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pa,10422.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,jPqsHLKP4ae3
SRR25657357,,,,,,,,,,2023-08-06,,,,,,,,,,,,,,,,,SRR25657357,SRX21383440,,,wastewater,,,,USA: New York,,,,1068012.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,nz,9354.Q,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,nVDrfBmbKDBc
SRR25657481,,,,,,,,,,2023-08-06,,,,,,,,,,,,,,,,,SRR25657481,SRX21383317,,,wastewater,,,,USA: Massachusetts,,,,180000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ma,10888.F,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,ZmseN38WLTVH
SRR25657269,,,,,,,,,,2023-08-06,,,,,,,,,,,,,,,,,SRR25657269,SRX21383163,,,wastewater,,,,USA: Pennsylvania,,,,4000.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,pa,7486.I,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,9YMmroexWN9s
SRR25657548,,,,,,,,,,2023-08-06,,,,,,,,,,,,,,,,,SRR25657548,SRX21383250,,,wastewater,,,,USA: Washington,,,,896000.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,wa,10796.H,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,GHhXjgwjN5CV
SRR25657487,,,,,,,,,,2023-08-06,,,,,,,,,,,,,,,,,SRR25657487,SRX21383311,,,wastewater,,,,USA: Oklahoma,,,,11500.0,24,raw wastewater,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,ok,8629.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,X9oGEV39B59V
SRR25657415,,,,,,,,,,2023-08-06,,,,,,,,,,,,,,,,,SRR25657415,SRX21383383,,,wastewater,,,,USA: Washington,,,,288000.0,24,post grit removal,composite,Biobot Analytics,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,public health surveillance community-level,wastewater treatment plant,wa,10796.I,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,S7EA4vWYuVDA
